"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5329","Jalen","Johnson","Jalen Johnson","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/jalen-johnson-odds-5329","225","0.0",2.25,"24.6","45.00",NA,NA,NA,"225","0.0",2.25,"26.3","45.00",NA,NA,NA,"220","0.0",2.2,"26.0","44.00",NA,NA,NA,"250","0.0",2.5,"0.0","50.00",NA,NA,NA,"210","0.0",2.1,"28.3","42.00",NA,NA,NA,"240","0.0",2.4,"24.5","48.00",NA,NA,NA,"200","0.0",2,"28.3","40.00",NA,NA,NA,"200","0.0",2,"28.6","40.00",NA,NA,NA,"hardrock","240","0.0",2.4,NA,"48.00",2026-03-12
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/deni-avdija-odds-5152","2000","0.0",20,"3.8","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"800","0.0",8,"0.0","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-120","0.0",0.833333333333333,"45.5","16.67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"betrivers","2000","0.0",20,NA,"400.00",2026-03-12
"Most Improved Player","5703","Jalen","Duren","Jalen Duren","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/jalen-duren-odds-5703","-250","0.0",0.4,"57.0","8.00",NA,NA,NA,"-190","0.0",0.526315789473684,"56.0","10.53",NA,NA,NA,"-185","0.0",0.54054054054054,"54.0","10.81",NA,NA,NA,"-165","0.0",0.606060606060606,"0.0","12.12",NA,NA,NA,"-180","0.0",0.555555555555556,"56.3","11.11",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"-190","0.0",0.526315789473684,"55.6","10.53",NA,NA,NA,"-180","0.0",0.555555555555556,"55.2","11.11",NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2026-03-12
"Most Improved Player","5899","Keyonte","George","Keyonte George","UTA","https://content.rotowire.com/images/teamlogo/basketball/100UTA.png?v=10","/betting/nba/player/keyonte-george-odds-5899","2000","0.0",20,"3.8","400.00",NA,NA,NA,"1200","0.0",12,"6.6","240.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"2200","0.0",22,"0.0","440.00",NA,NA,NA,"2200","0.0",22,"3.8","440.00",NA,NA,NA,"800","0.0",8,"9.3","160.00",NA,NA,NA,"1400","0.0",14,"5.7","280.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2026-03-12
"Most Improved Player","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765","3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,"3000","0.0",30,"0.0","600.00",NA,NA,NA,"2500","0.0",25,"3.4","500.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"betrivers","3000","0.0",30,NA,"600.00",2026-03-12
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/ryan-rollins-odds-5668","1200","0.0",12,"6.1","240.00",NA,NA,NA,"1600","0.0",16,"5.0","320.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"2000","0.0",20,"0.0","400.00",NA,NA,NA,"1500","0.0",15,"5.5","300.00",NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"1400","0.0",14,"5.7","280.00",NA,NA,NA,"1300","0.0",13,"6.1","260.00",NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-03-12
"Most Improved Player","4125","Dillon","Brooks","Dillon Brooks","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/dillon-brooks-odds-4125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",2026-03-12
"Most Improved Player","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.8","2,000.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"mgm","15000","0.0",150,NA,"3,000.00",2026-03-12
"Most Improved Player","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"12500","0.0",125,"0.7","2,500.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.0","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-03-12
"Most Improved Player","4375","Michael","Porter","Michael Porter","BKN","https://content.rotowire.com/images/teamlogo/basketball/100BKN.png?v=10","/betting/nba/player/michael-porter-odds-4375","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.0","3,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"7500","0.0",75,"1.1","1,500.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-03-12
"Most Improved Player","5333","Neemias","Queta","Neemias Queta","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/neemias-queta-odds-5333","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-03-12
"Most Improved Player","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277","25000","0.0",250,"0.3","5,000.00",NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"betrivers","25000","0.0",250,NA,"5,000.00",2026-03-12
"Most Improved Player","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","50000","0.0",500,NA,"10,000.00",2026-03-12
"Most Improved Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/amen-thompson-odds-5931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","50000","0.0",500,NA,"10,000.00",2026-03-12
