"future","playerID","firstName","lastName","name","team","logo","playerURL","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Most Improved Player","5938","Matas","Buzelis","Matas Buzelis","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/matas-buzelis-odds-5938","800","0.0",8,"6.6","160.00",NA,NA,NA,"1000","0.0",10,"5.2","200.00",NA,NA,NA,"800","0.0",8,"6.1","160.00",NA,NA,NA,"1100","0.0",11,"5.3","220.00",NA,NA,NA,"1200","0.0",12,"5.1","240.00",NA,NA,NA,"1200","0.0",12,"4.4","240.00",NA,NA,NA,"800","0.0",8,"8.9","160.00",NA,NA,NA,"fanduel","1200","0.0",12,NA,"240.00",2025-11-01
"Most Improved Player","5668","Ryan","Rollins","Ryan Rollins","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=7","/betting/nba/player/ryan-rollins-odds-5668","800","0.0",8,"6.6","160.00",NA,NA,NA,"950","0.0",9.5,"5.5","190.00",NA,NA,NA,"1200","0.0",12,"4.2","240.00",NA,NA,NA,"900","0.0",9,"6.4","180.00",NA,NA,NA,"1000","0.0",10,"6.0","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2025-11-01
"Most Improved Player","5366","Josh","Giddey","Josh Giddey","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/josh-giddey-odds-5366","800","0.0",8,"6.6","160.00",NA,NA,NA,"900","0.0",9,"5.8","180.00",NA,NA,NA,"1100","0.0",11,"4.6","220.00",NA,NA,NA,"900","0.0",9,"6.4","180.00",NA,NA,NA,"1000","0.0",10,"6.0","200.00",NA,NA,NA,"1500","0.0",15,"3.6","300.00",NA,NA,NA,"1000","0.0",10,"7.3","200.00",NA,NA,NA,"hardrock","1500","0.0",15,NA,"300.00",2025-11-01
"Most Improved Player","5152","Deni","Avdija","Deni Avdija","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/deni-avdija-odds-5152","1000","0.0",10,"5.4","200.00",NA,NA,NA,"1200","0.0",12,"4.4","240.00",NA,NA,NA,"1600","0.0",16,"3.2","320.00",NA,NA,NA,"1200","0.0",12,"4.9","240.00",NA,NA,NA,"1200","0.0",12,"5.1","240.00",NA,NA,NA,"1600","0.0",16,"3.4","320.00",NA,NA,NA,"1400","0.0",14,"5.3","280.00",NA,NA,NA,"draftkings","1600","0.0",16,NA,"320.00",2025-11-01
"Most Improved Player","5698","Bennedict","Mathurin","Bennedict Mathurin","IND","https://content.rotowire.com/images/teamlogo/basketball/100IND.png?v=7","/betting/nba/player/bennedict-mathurin-odds-5698","1600","0.0",16,"3.5","320.00",NA,NA,NA,"1000","0.0",10,"5.2","200.00",NA,NA,NA,"1200","0.0",12,"4.2","240.00",NA,NA,NA,"1300","0.0",13,"4.5","260.00",NA,NA,NA,"1200","0.0",12,"5.1","240.00",NA,NA,NA,"600","0.0",6,"8.2","120.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"mgm","1600","0.0",16,NA,"320.00",2025-11-01
"Most Improved Player","5931","Amen","Thompson","Amen Thompson","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/amen-thompson-odds-5931","1200","0.0",12,"4.6","240.00",NA,NA,NA,"1400","0.0",14,"3.8","280.00",NA,NA,NA,"1600","0.0",16,"3.2","320.00",NA,NA,NA,"1500","0.0",15,"4.0","300.00",NA,NA,NA,"1500","0.0",15,"4.1","300.00",NA,NA,NA,"1000","0.0",10,"5.2","200.00",NA,NA,NA,"1400","0.0",14,"5.3","280.00",NA,NA,NA,"draftkings","1600","0.0",16,NA,"320.00",2025-11-01
"Most Improved Player","5334","Austin","Reaves","Austin Reaves","LAL","https://content.rotowire.com/images/teamlogo/basketball/100LAL.png?v=7","/betting/nba/player/austin-reaves-odds-5334","1600","0.0",16,"3.5","320.00",NA,NA,NA,"1800","0.0",18,"3.0","360.00",NA,NA,NA,"2000","0.0",20,"2.6","400.00",NA,NA,NA,"1500","0.0",15,"4.0","300.00",NA,NA,NA,"1800","0.0",18,"3.5","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2000","0.0",20,NA,"400.00",2025-11-01
"Most Improved Player","5932","Ausar","Thompson","Ausar Thompson","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/ausar-thompson-odds-5932","2000","0.0",20,"2.8","400.00",NA,NA,NA,"2000","0.0",20,"2.7","400.00",NA,NA,NA,"2200","0.0",22,"2.4","440.00",NA,NA,NA,"2000","0.0",20,"3.0","400.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"2250","0.0",22.5,"2.4","450.00",NA,NA,NA,"1600","0.0",16,"4.7","320.00",NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2025-11-01
"Most Improved Player","6269","Kyshawn","George","Kyshawn George","WAS","https://content.rotowire.com/images/teamlogo/basketball/100WAS.png?v=7","/betting/nba/player/kyshawn-george-odds-6269","2000","0.0",20,"2.8","400.00",NA,NA,NA,"2000","0.0",20,"2.7","400.00",NA,NA,NA,"1600","0.0",16,"3.2","320.00",NA,NA,NA,"2800","0.0",28,"2.2","560.00",NA,NA,NA,"2500","0.0",25,"2.5","500.00",NA,NA,NA,"2000","0.0",20,"2.7","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","2800","0.0",28,NA,"560.00",2025-11-01
"Most Improved Player","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/reed-sheppard-odds-6257","4000","0.0",40,"1.4","800.00",NA,NA,NA,"4000","0.0",40,"1.4","800.00",NA,NA,NA,"4000","0.0",40,"1.3","800.00",NA,NA,NA,"4000","0.0",40,"1.5","800.00",NA,NA,NA,"4000","0.0",40,"1.6","800.00",NA,NA,NA,"3000","0.0",30,"1.9","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-11-01
